Comp Depth [cm],Al, Si, P, S, Ar, K, Ca, Ti, Mn, Fe, Ni, Rb,  Zr, Ca_Ti, Si_Ti, Zr_Ti, Ni_Ti, Fe_Ti, Al_Ti, K_Ti, Rb_K,core name
12,322,2710,0,311,9106,29528,522275,14796,7075,96670,795,1795,417,35.29839146,0.18315761,0.028183293,0.053730738,6.533522574,0.021762639,1.995674507,0.060789759,HIBO19-C-1-1
12.5,414,2520,0,316,9046,31204,524889,16144,6459,97000,637,1881,898,32.51294599,0.156095144,0.055624381,0.039457384,6.008424182,0.025644202,1.932854311,0.060280733,HIBO19-C-1-1
13,385,2977,0,302,9149,33413,546079,16852,7325,108759,800,1977,388,32.40440304,0.17665559,0.023023973,0.04747211,6.453774033,0.022845953,1.98273202,0.059168587,HIBO19-C-1-1
13.5,422,4211,0,289,9447,49294,500791,24002,6399,128919,894,2520,590,20.86455295,0.175443713,0.024581285,0.037246896,5.371177402,0.017581868,2.053745521,0.05112184,HIBO19-C-1-1
14,494,4510,0,231,9000,51968,599968,24427,7410,122985,845,2149,561,24.56167356,0.18463176,0.02296639,0.034592869,5.03479756,0.020223523,2.127481885,0.041352371,HIBO19-C-1-1
14.5,496,4445,0,180,8912,54775,641769,24766,8545,126606,1178,2301,668,25.91330857,0.179479932,0.026972462,0.04756521,5.112089154,0.020027457,2.211701526,0.042008215,HIBO19-C-1-1
15,553,4917,0,270,9027,57884,609782,26271,7281,145606,819,2498,806,23.2112215,0.187164554,0.030680218,0.03117506,5.542461269,0.021049827,2.203342088,0.043155276,HIBO19-C-1-1
15.5,513,5282,0,110,9426,66512,613996,28311,10072,139949,837,2494,1045,21.68754194,0.186570591,0.036911448,0.02956448,4.943272933,0.018120165,2.349334181,0.037496993,HIBO19-C-1-1
16,533,5273,0,179,8967,63220,659042,27314,5508,130606,1008,2358,768,24.12835908,0.193051183,0.028117449,0.036904152,4.781650436,0.019513802,2.31456396,0.037298323,HIBO19-C-1-1
16.5,626,5516,0,78,9124,71768,579048,30974,5260,142307,962,2569,726,18.69464712,0.178084845,0.023439013,0.031058307,4.594401756,0.020210499,2.317040098,0.035795898,HIBO19-C-1-1
17,590,5399,0,118,9422,66275,696530,27891,7331,135257,1020,2729,669,24.97328887,0.193574988,0.023986232,0.036570937,4.849485497,0.021153777,2.376214549,0.041176914,HIBO19-C-1-1
17.5,710,6272,0,139,9667,68924,659473,30155,5284,142572,996,2571,873,21.86944122,0.207992041,0.028950423,0.033029348,4.727972144,0.023545017,2.285657437,0.037301956,HIBO19-C-1-1
18,513,5158,0,86,8900,60861,678492,26840,6369,132943,1122,2311,847,25.27913562,0.192175857,0.031557377,0.041803279,4.953166915,0.019113264,2.267548435,0.037971772,HIBO19-C-1-1
18.5,446,4770,0,96,8936,61955,640314,26328,6093,131894,821,2382,765,24.32064722,0.181175934,0.029056518,0.031183531,5.009647524,0.01694014,2.353198116,0.03844726,HIBO19-C-1-1
19,650,6131,0,119,9236,85099,436851,35296,5225,170901,984,3878,862,12.3767849,0.173702403,0.024422031,0.027878513,4.841936763,0.018415684,2.411009746,0.045570453,HIBO19-C-1-1
19.5,751,6107,0,149,9433,78884,486742,42682,6847,180419,1018,3410,1408,11.40391734,0.143081393,0.032988145,0.023850804,4.227051216,0.017595239,1.84817956,0.043228031,HIBO19-C-1-1
20,686,6718,0,181,8939,64030,615825,29245,8998,149440,939,2651,544,21.05744572,0.229714481,0.01860147,0.032108053,5.109933322,0.023457001,2.189434091,0.041402468,HIBO19-C-1-1
20.5,662,6837,0,153,8891,66430,707454,28377,6610,141303,1121,2295,676,24.93054234,0.24093456,0.023822109,0.039503824,4.979490432,0.023328752,2.340980371,0.034547644,HIBO19-C-1-1
